               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,             0.05027,            0.070041,            0.025389,             0.64786,             0.48222,             0.52979,             0.33778,            0.044697,            0.050205,            0.017762,            0.006073,            0.006073,            0.006073
                 121,            0.050256,            0.070073,            0.025278,               0.645,             0.48282,             0.52995,             0.33756,            0.044691,            0.050188,            0.017752,             0.00604,             0.00604,             0.00604
                 122,            0.050299,            0.070458,            0.025389,             0.64315,             0.48601,             0.52971,             0.33776,            0.044682,            0.050172,            0.017738,            0.006007,            0.006007,            0.006007
                 123,            0.050328,            0.070104,            0.025356,             0.64669,             0.48431,             0.52973,             0.33752,            0.044678,            0.050163,            0.017724,            0.005974,            0.005974,            0.005974
                 124,            0.050218,            0.069755,            0.025229,             0.64361,             0.48563,             0.53001,             0.33775,            0.044671,            0.050154,            0.017716,            0.005941,            0.005941,            0.005941
                 125,            0.050261,            0.069706,            0.025237,             0.64493,             0.48446,             0.53028,             0.33811,            0.044663,             0.05014,            0.017707,            0.005908,            0.005908,            0.005908
                 126,            0.050184,            0.069878,            0.025183,             0.64242,             0.48627,             0.53081,              0.3383,            0.044653,            0.050135,            0.017697,            0.005875,            0.005875,            0.005875
                 127,            0.050252,            0.069932,            0.025189,             0.64185,             0.48614,              0.5314,             0.33833,            0.044647,             0.05013,            0.017681,            0.005842,            0.005842,            0.005842
                 128,            0.050262,            0.069959,             0.02531,             0.64687,             0.48385,             0.53176,             0.33853,            0.044638,            0.050124,            0.017668,            0.005809,            0.005809,            0.005809
                 129,             0.05011,            0.070228,            0.025103,             0.63829,             0.48858,             0.53168,             0.33871,            0.044625,            0.050118,            0.017654,            0.005776,            0.005776,            0.005776
                 130,            0.050204,            0.069998,            0.025053,             0.63629,             0.48978,             0.53226,             0.33894,            0.044615,            0.050121,            0.017646,            0.005743,            0.005743,            0.005743
                 131,            0.050107,            0.069763,            0.025075,              0.6375,             0.49009,             0.53253,             0.33919,            0.044598,            0.050107,            0.017636,             0.00571,             0.00571,             0.00571
                 132,            0.050139,            0.070353,            0.024985,             0.63638,             0.49191,             0.53318,             0.33963,            0.044586,              0.0501,            0.017622,            0.005677,            0.005677,            0.005677
                 133,            0.049964,            0.069602,            0.025071,             0.63052,             0.49429,              0.5331,             0.34011,            0.044578,            0.050098,            0.017616,            0.005644,            0.005644,            0.005644
                 134,            0.050086,            0.070094,             0.02496,             0.63134,              0.4946,             0.53389,             0.34024,            0.044563,            0.050093,            0.017607,            0.005611,            0.005611,            0.005611
                 135,            0.050076,            0.069567,             0.02499,             0.63215,             0.49451,             0.53427,             0.34021,            0.044556,            0.050087,            0.017596,            0.005578,            0.005578,            0.005578
                 136,            0.050025,            0.069897,            0.024904,             0.63197,             0.49512,             0.53471,             0.34063,             0.04455,            0.050083,            0.017583,            0.005545,            0.005545,            0.005545
                 137,            0.049939,            0.069825,            0.024846,             0.63054,             0.49607,             0.53454,             0.34069,            0.044547,            0.050073,            0.017576,            0.005512,            0.005512,            0.005512
                 138,            0.049932,            0.069786,            0.024979,              0.6324,             0.49497,             0.53465,             0.34084,            0.044542,            0.050072,            0.017566,            0.005479,            0.005479,            0.005479
                 139,            0.049836,            0.069699,            0.024884,             0.63386,             0.49428,             0.53483,             0.34122,            0.044531,            0.050073,            0.017548,            0.005446,            0.005446,            0.005446
                 140,            0.049799,            0.069582,            0.024826,             0.63235,             0.49821,             0.53538,             0.34131,            0.044523,            0.050061,            0.017531,            0.005413,            0.005413,            0.005413
                 141,            0.049859,            0.069595,            0.024777,             0.63193,             0.49808,             0.53509,             0.34122,            0.044509,            0.050054,             0.01751,             0.00538,             0.00538,             0.00538
                 142,             0.04975,            0.069604,             0.02486,             0.63551,              0.4967,              0.5354,             0.34157,              0.0445,            0.050049,            0.017486,            0.005347,            0.005347,            0.005347
                 143,            0.049892,            0.069884,            0.024767,             0.63857,             0.49628,             0.53548,             0.34187,            0.044492,            0.050043,            0.017464,            0.005314,            0.005314,            0.005314
                 144,            0.049768,            0.069406,            0.024734,             0.63779,             0.49729,             0.53577,             0.34219,            0.044481,            0.050028,             0.01745,            0.005281,            0.005281,            0.005281
                 145,            0.049848,            0.070034,            0.024718,             0.64013,             0.49712,             0.53607,             0.34265,            0.044474,            0.050014,            0.017435,            0.005248,            0.005248,            0.005248
                 146,            0.049791,             0.06964,            0.024626,             0.64167,             0.49676,             0.53685,             0.34313,            0.044466,            0.049996,            0.017425,            0.005215,            0.005215,            0.005215
                 147,            0.049809,            0.069783,            0.024607,             0.64132,             0.49762,             0.53678,             0.34289,            0.044454,            0.049988,            0.017413,            0.005182,            0.005182,            0.005182
                 148,            0.049696,             0.06975,            0.024546,             0.63959,             0.49891,             0.53757,             0.34365,            0.044437,            0.049973,            0.017397,            0.005149,            0.005149,            0.005149
                 149,            0.049698,            0.069535,            0.024602,             0.63552,             0.50137,             0.53788,             0.34409,            0.044421,            0.049954,            0.017387,            0.005116,            0.005116,            0.005116
                 150,            0.049693,            0.069547,            0.024368,             0.64162,             0.49835,              0.5379,             0.34423,            0.044414,            0.049949,            0.017387,            0.005083,            0.005083,            0.005083
                 151,            0.049675,            0.069546,            0.024439,             0.63864,             0.49841,             0.53751,             0.34402,            0.044404,            0.049951,            0.017386,             0.00505,             0.00505,             0.00505
                 152,            0.049628,            0.069338,            0.024474,             0.63037,             0.50286,             0.53791,             0.34409,            0.044391,            0.049943,            0.017379,            0.005017,            0.005017,            0.005017
                 153,            0.049592,            0.069329,            0.024441,             0.62991,             0.50421,             0.53811,               0.344,             0.04438,             0.04993,            0.017375,            0.004984,            0.004984,            0.004984
                 154,            0.049521,            0.069445,            0.024333,             0.63216,             0.50232,             0.53874,             0.34448,            0.044368,            0.049925,            0.017364,            0.004951,            0.004951,            0.004951
